GameId,TotalElapsedTime,GD,MD,win_before,loss_before,tie-win_before,tie-loss_before,win_after,loss_after,tie-win_after,tie-loss_after,reward
2012020032,991,1,0,48,175,15,34,201,201,69,69,0.5395424836601307
2012020032,3105,0,0,57,57,92,92,176,10,24,32,0.4763991347273837
2012020032,3583,-1,-1,18,0,0,0,135,0,0,0,0
2012020033,440,0,0,290,290,93,93,144,44,24,16,0.42244972745178866
2012020033,1701,1,1,27,7,3,4,99,6,7,7,0.2793605246976841
2012020033,2529,2,0,137,1,4,3,78,0,3,0,0.034482758620689766
2012020033,2680,3,0,0,73,0,3,0,148,8,7,0.1016306102680013
2012020033,3293,2,-1,0,16,0,0,4,180,23,25,0.34051724137931033
2012020034,952,0,0,201,201,70,70,173,49,31,30,0.41855188869909904
2012020034,2460,-1,0,33,141,37,44,100,100,65,65,0.4754010695187165
2012020034,2555,0,1,7,11,5,6,147,35,38,40,0.5424403183023874
2012020034,2896,1,0,161,11,32,39,130,2,4,3,0.20066909435414623
2012020035,197,0,-2,3,0,0,0,12,3,0,2,-0.47058823529411753
2012020035,270,-1,-1,13,4,1,1,8,1,1,0,0.2736842105263159
2012020035,505,-2,1,1,6,0,0,52,150,28,14,0.4274004683840749
2012020035,602,-1,0,146,57,32,28,39,7,2,3,0.20659062103929027
2012020035,667,-2,-1,5,1,1,0,12,0,0,0,0.2857142857142858
2012020035,1089,-3,0,20,0,0,0,3,0,0,0,0
2012020035,1160,-4,0,3,0,0,0,1,0,0,0,0
2012020035,2065,-5,2,0,1,0,0,0,4,0,0,0
2012020035,2614,-4,0,0,29,0,0,0,72,0,3,0.04
2012020036,1131,0,1,23,19,9,3,159,54,39,28,0.2735449735449737
2012020036,1389,1,0,49,164,38,40,161,161,62,62,0.4036182639113618
2012020036,1608,0,0,124,124,54,54,164,57,47,36,0.354893554109994
2012020036,1637,-1,0,53,153,33,45,138,138,58,58,0.3838746766312159
2012020036,2074,0,0,95,95,55,55,149,37,42,31,0.4112612612612612
2012020036,2718,-1,0,146,22,35,32,144,0,7,7,0.27910045785079446
2012020036,3539,-2,-2,3,0,0,0,15,0,0,0,0
2012020037,276,0,0,367,367,112,112,114,39,22,24,0.37052695628455423
2012020037,409,1,0,141,44,19,31,17,2,3,1,0.28899167437557816
