Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,PlusMinus,PlusMinus_w
732,818,-86,8467967,"Chris Kelly",C,-8,-6.046
753,819,-66,8473962,"Teddy Purcell",R,-9,-6.058
703,820,-117,8467331,"Brad Stuart",D,-7,-6.085
788,821,-33,8471231,"Kyle Chipchura",C,-12,-6.127
796,822,-26,8470699,"Jan Hejda",D,-13,-6.162
684,823,-139,8474519,"Jack Hillen",D,-6,-6.219
685,824,-139,8464994,"Steve Begin",L,-6,-6.332
243,825,-582,8462176,"Brent Sopel",D,3,-6.465
797,826,-29,8470630,"Kevin Klein",D,-13,-6.592
837,827,10,8459433,"Brendan Witt",D,-18,-6.633
843,828,15,8458541,"Steve Staios",D,-23,-6.667
653,829,-176,8470647,"B.J. Crombeen",R,-5,-6.685
832,830,2,8470775,"Nate Thompson",C,-17,-6.703
811,831,-20,8470654,"Maxim Lapierre",C,-14,-6.796
336,832,-496,8471217,"Andrew Ladd",L,1,-6.826
390,833,-443,8469508,"Jay McClement",C,0,-6.915
704,834,-130,8468434,"Andy McDonald",L,-7,-6.996
842,835,7,8471710,"Taylor Chorney",D,-21,-7.209
833,836,-3,8466142,"Eric Brewer",D,-17,-7.279
789,837,-48,8460567,"Chris Clark",R,-12,-7.451
846,838,8,8445735,"Rod Brind'Amour",C,-27,-7.603
812,839,-27,8468505,"Steve Ott",C,-14,-7.755
828,840,-12,8458519,"Aaron Ward",D,-16,-7.801
829,841,-12,8459587,"Todd Marchant",C,-16,-7.873
844,842,2,8473449,"Kyle Okposo",R,-23,-8.385
766,843,-77,8471232,"Lauri Korpikoski",L,-10,-8.386
705,844,-139,8467330,"David Legwand",C,-7,-8.886
778,845,-67,8470318,"Jonathan Ericsson",D,-11,-9.157
845,846,-1,8467423,"Shawn Horcoff",C,-26,-9.889
847,847,0,8470649,"Patrick O'Sullivan",C,-34,-10.911
