PlayerId,Playername,Position,Assists,weighted_assist
8469622,"Ryane Clowe",L,15,3.697065686978958
8456966,"Robert Lang",C,12,3.6518394623751216
8470299,"Erik Christensen",C,8,3.6386077206254694
8467463,"Mikael Samuelsson",R,15,3.582392129842958
8460661,"Shane Hnidy",D,8,3.5753187243952533
8459426,"Paul Kariya",L,12,3.566742907502988
8469474,"Colby Armstrong",R,9,3.5637159320415996
8458361,"Doug Weight",C,9,3.536377362065702
8460496,"Ryan Smyth",L,15,3.5328394792367925
8468639,"John-Michael Liles",D,15,3.53065088760156
8466392,"Todd White",C,9,3.5133466195503122
8460577,"Milan Hejduk",R,12,3.50442471290685
8469470,"Carlo Colaiacovo",D,12,3.500659817374561
8464967,"Marty Reasoner",C,9,3.4974417330330922
8466149,"Daniel Cleary",R,10,3.4879240103897335
8464989,"Matt Cullen",C,14,3.4676062376183157
8460743,"Tomas Holmstrom",L,10,3.4462731330008243
8467332,"Bryan Allen",D,6,3.4289406819041366
8471761,"Chris Butler",D,8,3.425743197171466
8471657,"Cody McLeod",L,8,3.4244052869573016
8473446,"Erik Johnson",D,12,3.4221219623408023
8459424,"Chris Pronger",D,16,3.409857922360971
8470741,"Nigel Dawes",L,13,3.3979585938902743
8459574,"Darcy Tucker",R,9,3.3949967621516763
8471699,"Andrew Cogliano",C,10,3.3809139000536685
8468172,"Ruslan Fedotenko",L,10,3.356865324589804
8459462,"Bryan McCabe",D,15,3.3514451817876982
8458536,"Dean McAmmond",C,6,3.337694538788533
8456464,"Bill Guerin",R,12,3.3279094936319344
8466035,"Sergei Samsonov",L,9,3.317118699179116
8470257,"Alexander Steen",L,12,3.3118899872115906
8471680,"Gilbert Brule",C,10,3.3101414246495584
8467545,"Michael Ryder",R,10,3.301941772169223
8469500,"Mike Cammalleri",L,14,3.274472543531013
8471677,"Jack Johnson",D,12,3.2592314172912444
8446485,"Kris Draper",C,9,3.257263722236389
8468485,"Raffi Torres",L,12,3.25013839998636
8466285,"Brian Campbell",D,10,3.2432243227797297
8471185,"Curtis Glencross",L,9,3.2398290226877178
8467917,"Jordan Leopold",D,7,3.219244460698371
8466251,"Jason Chimera",L,8,3.193528193708985
8458517,"Scott Niedermayer",D,13,3.1635156210832487
8462036,"Daymond Langkow",C,10,3.1383501621989045
8470273,"Ian White",D,13,3.1261150432707767
8469508,"Jay McClement",C,13,3.123640195698756
8467466,"Trent Hunter",R,9,3.11324048678593
8470054,"Keith Ballard",D,10,3.0970654869505467
8460562,"Chris Drury",C,12,3.09680845874235
8473994,"Jamie Benn",L,8,3.0772623079044825
8470607,"Brent Seabrook",D,13,3.067268380377034
8465978,"Shawn Thornton",L,8,3.065340960528252
8471879,"Kyle Cumiskey",D,7,3.030299224037768
8474519,"Jack Hillen",D,9,3.0290202972358276
8465202,"Sami Salo",D,7,3.0039986619071297
8471887,"Patric Hornqvist",R,10,2.9840577189216226
8471339,"Ryan Callahan",R,11,2.976995649627021
8471260,"Blake Comeau",L,12,2.967174644696795
8471392,"Roman Polak",D,8,2.960752895501434
8459427,"Rob Niedermayer",C,10,2.9433923147800063
8467493,"Chris Neil",R,10,2.940836903919847
8450725,"Mark Recchi",R,13,2.91469414574351
8460503,"Mattias Ohlund",D,6,2.8753096405192182
8467452,"Rob Scuderi",D,6,2.875181519197908
8475158,"Ryan O'Reilly",C,10,2.874017354517547
8467423,"Shawn Horcoff",C,11,2.8658294294846347
8467439,"Jaroslav Spacek",D,6,2.8634665381453637
8468598,"Lubomir Visnovsky",D,10,2.8572549452511002
8471386,"Scott Parse",L,7,2.841874152185924
8471238,"Rob Schremp",C,9,2.8359259064464792
8462041,"Radek Dvorak",R,8,2.8355472532074244
8470740,"Lee Stempniak",R,13,2.831478392005525
8470601,"Braydon Coburn",D,9,2.8287569401566066
8466393,"Pascal Dupuis",R,11,2.8251393159587344
8471724,"Kris Letang",D,11,2.8171005919892043
8471220,"Rostislav Olesz",L,11,2.794828610271071
8468789,"Jason Williams",C,8,2.7833005373061432
8470611,"Eric Fehr",R,10,2.771903530997549
8468493,"Ron Hainsey",D,8,2.738422464955582
8469598,"Kevin Bieksa",D,7,2.7328173098878623
8465122,"Brett Clark",D,7,2.7117476221879846
8468224,"Sean Avery",L,12,2.7101986316443947
8470602,"Dion Phaneuf",D,12,2.707834186235906
8467346,"Simon Gagne",L,14,2.699279588130689
8464977,"Dainius Zubrus",L,11,2.698378257180341
8471426,"Troy Brouwer",R,10,2.6939559035617213
8471187,"Brett Lebda",D,5,2.687759705459123
8473492,"Matt Beleskey",L,5,2.6844748184978817
8474037,"James van Riemsdyk",L,11,2.672163956534096
8475169,"Evander Kane",L,8,2.669310699021806
8471299,"Peter Regin",C,9,2.6629895872998115
8474001,"TJ Galiardi",L,13,2.6477273496036964
8473422,"Nick Foligno",L,12,2.6225518583997873
8470724,"Kyle Quincey",D,8,2.6068022699083127
8458525,"Brian Rolston",R,10,2.5681270147543773
8465012,"Tom Poti",D,11,2.5561421449317088
8468700,"Paul Gaustad",C,8,2.53435129434089
8462535,"Jody Shelley",L,6,2.4962441385588185
8471217,"Andrew Ladd",L,9,2.493758329791737
8471873,"Anton Stralman",D,7,2.4899534295174273
8470834,"Dustin Byfuglien",R,7,2.475949632094014
8449895,"Owen Nolan",R,9,2.462390932203515
8466144,"Paul Mara",D,5,2.462226788491302
8467881,"Taylor Pyatt",L,5,2.45955898426836
8471729,"Kris Russell",D,6,2.455351260126704
8467831,"Jeff Halpern",C,6,2.4404383750670977
8467331,"Brad Stuart",D,6,2.4256760841696403
8466216,"Adam Mair",C,4,2.4195847189808832
8460492,"Ed Jovanovski",D,14,2.4028166174197616
8468208,"Joel Ward",R,14,2.3603935909960723
8470599,"Milan Michalek",L,7,2.34117069241249
8462077,"Jochen Hecht",C,7,2.3368635159942865
8465025,"Arron Asham",R,10,2.3329742994321996
8459514,"Jamal Mayers",R,7,2.3323386098279437
8460504,"Ethan Moreau",L,5,2.316186840975763
8471691,"Martin Hanzal",C,10,2.3111007706468865
8467890,"Barret Jackman",D,7,2.311084713863126
8474498,"Jesse Winchester",C,7,2.307746392796629
8471794,"Darren Helm",C,6,2.3048227196579814
8470680,"Ryan Potulny",C,10,2.29943137906414
8466309,"Mike Mottau",D,8,2.2970845726859443
8471450,"Brandon Yip",R,7,2.2938172036940676
8468635,"Travis Moen",L,7,2.2863358393168896
8469770,"Dennis Wideman",D,6,2.282728137769592
8470700,"Byron Bitz",R,5,2.2727246418574865
8468575,"Dominic Moore",C,9,2.2581567598678225
8470920,"David Clarkson",R,7,2.2563104965603276
8468500,"Alex Frolov",L,20,2.256074380932682
8467943,"Niklas Hagman",L,9,2.244581955875737
8445550,"Rob Blake",D,6,2.244486258043606
8471807,"Tom Wandell",C,7,2.234771282327211
8474218,"Jason Demers",D,9,2.233721627732465
8460567,"Chris Clark",R,7,2.2308800776650926
8470854,"Tanner Glass",L,5,2.226044072776135
8470324,"Josh Gorges",D,5,2.214584844489325
8470630,"Kevin Klein",D,5,2.2111495707898405
8470662,"Colin Fraser",C,6,2.2007240907053074
8469483,"David Steckel",C,6,2.1935100434103503
8471284,"Andrej Sekera",D,3,2.1845015041501044
8470666,"Daniel Carcillo",L,6,2.1713783069501686
8470678,"Alexandre Picard",D,3,2.1636153885063
8469464,"Fredrik Sjostrom",L,7,2.139107165895115
8469473,"Marcel Goc",C,6,2.1194071941172155
8467478,"Kent Huskins",D,7,2.10140757803015
8474552,"Fabian Brunnstrom",L,6,2.0877730092483846
8470687,"Zack Stortini",R,5,2.087069940075766
8471279,"Sami Lepisto",D,6,2.080616330668748
8465059,"Matt Bradley",R,9,2.0759919335205588
8455919,"Craig Conroy",C,9,2.0609499339926325
8475098,"Tyler Bozak",C,6,2.057176622970701
8471958,"Dan Girardi",D,8,2.0532267009948564
8469665,"Johnny Oduya",D,5,2.0453712536913446
8459024,"Jere Lehtinen",R,6,2.031943362229265
8475167,"Victor Hedman",D,8,2.027666342381424
8465951,"Matt Cooke",L,9,2.024856920966309
8467334,"Manny Malhotra",C,9,2.0108198216607813
8460561,"Sheldon Souray",D,6,2.005583039364707
8468505,"Steve Ott",C,9,2.004365686819081
8471743,"Vladimir Sobotka",L,5,1.9995254517240288
8471236,"Andrej Meszaros",D,7,1.9963240538541447
8462823,"Glen Metropolit",C,7,1.9939475782954623
8469547,"Jordin Tootoo",R,7,1.974630906414508
8468509,"Niklas Kronwall",D,8,1.9703029598007515
8456887,"Vyacheslav Kozlov",L,8,1.9698061908909925
8474578,"Erik Karlsson",D,5,1.9691807133443566
8470072,"Petr Prucha",R,4,1.9527357139239658
8471283,"Brandon Prust",L,6,1.9384530984317705
8466371,"John Madden",C,7,1.9377359946308381
8471682,"Devin Setoguchi",R,8,1.9341840932193874
8469812,"Chad LaRose",R,8,1.9288946161016465
8467400,"Francois Beauchemin",D,6,1.9249910180781022
8458541,"Steve Staios",D,6,1.9189426871533564
8473534,"Patrik Berglund",C,6,1.9133121596391662
8459004,"Craig Rivet",D,8,1.9058182009725055
8471634,"Ryan Shannon",R,5,1.89490882274788
8470750,"John Mitchell",C,6,1.8919154253224393
8473564,"Michael Frolik",R,7,1.8847769584378415
8445735,"Rod Brind'Amour",C,5,1.8729559932473718
8459687,"Scott Nichol",C,11,1.8675047489013086
8471769,"Niklas Hjalmarsson",D,7,1.8612006390493894
8471476,"Daniel Winnik",C,7,1.829221651462748
8465192,"Samuel Pahlsson",C,6,1.8092792418144112
8467988,"Ryan Malone",L,9,1.8080769062658555
8470578,"Freddy Meyer",D,5,1.8014492501639212
8474573,"Josh Bailey",L,8,1.798269289255234
8471686,"Marc Staal",D,5,1.7929623886258366
8467393,"Jarkko Ruutu",L,10,1.7928995515102613
8467407,"Brian Gionta",R,7,1.788026467663973
8458637,"Sean O'Donnell",D,5,1.7851633783214993
8474709,"Matt Martin",L,2,1.781414317389927
8470121,"Matt Greene",D,3,1.7776435015231753
8470329,"Chris Campoli",D,5,1.7720558920709188
8473573,"Artem Anisimov",C,7,1.765282188732717
8471709,"Marc-Edouard Vlasic",D,5,1.7501375874929095
8459648,"Pavol Demitra",R,6,1.737792079900971
8470905,"Randy Jones",D,7,1.723548346601264
8470222,"James Wisniewski",D,9,1.7144710604513613
8467519,"Karlis Skrastins",D,6,1.6976702229524507
8474569,"Colin Wilson",C,5,1.694100984599004
8466158,"Scott Hannan",D,5,1.6904192226150618
8459640,"Michael Grier",R,5,1.674651375288593
8471240,"Jeff Schultz",D,5,1.6742626258095492
8469581,"Kyle Wellwood",C,5,1.6633879553356015
8466145,"Nick Boynton",D,3,1.6594797452372791
8470774,"Bruno Gervais",D,7,1.65095964531358
8468518,"Tomas Kopecky",R,8,1.6307543482739975
8470105,"Scottie Upshall",L,5,1.6116712341376536
8469765,"Marc-Andre Bergeron",D,6,1.6065647823241127
8469992,"Sheldon Brookbank",D,8,1.6055938377389016
8468515,"Brad Winchester",L,4,1.5996553638626891
8471385,"Adam Pardy",D,4,1.5978732695017075
8470654,"Maxim Lapierre",C,5,1.5888091464838023
8475118,"Matt Gilroy",D,5,1.5883118657064137
8470274,"Chris Higgins",L,5,1.5775701492454925
8459094,"Ian Laperriere",R,9,1.572966704907243
8475087,"Christian Hanson",C,3,1.5692141077366224
8473504,"Cal Clutterbuck",R,5,1.565822898932464
8451224,"Mathieu Schneider",D,5,1.558919581346052
8470647,"B.J. Crombeen",R,5,1.5549047763209527
8473618,"Mathieu Perreault",C,4,1.554587516420436
8459053,"Adrian Aucoin",D,5,1.5494596070905111
8468502,"David Hale",D,4,1.546138427688844
8473673,"David Schlemko",D,4,1.5335159807747312
8471716,"Justin Abdelkader",L,3,1.5321993084212904
8470609,"Steve Bernier",R,8,1.51918959365072
8471229,"Petteri Nokelainen",C,6,1.5168128859289167
8468114,"Douglas Murray",D,5,1.51311186766888
8470613,"Brent Burns",D,7,1.511533122155199
8471702,"Matt Niskanen",D,4,1.49299242960927
8472355,"Rod Pelley",C,6,1.4898623056036342
8471756,"Oskars Bartulis",D,4,1.4545915546044257
8469501,"Chris Thorburn",R,7,1.4390908033165106
8471859,"Sergei Kostitsyn",L,7,1.4329108836090327
8465914,"Francis Bouillon",D,5,1.413482884689706
8460556,"Freddy Modin",L,4,1.4073684069433525
8464956,"Chris Phillips",D,6,1.3896769896918122
8465185,"Willie Mitchell",D,4,1.3871948903380962
8473473,"Milan Lucic",L,5,1.380907391645573
8470631,"Kamil Kreps",C,5,1.3758960431316538
8475105,"Dan Sexton",R,4,1.373831005905673
8464975,"Daniel Briere",C,16,1.3627687986629837
8473432,"Derek Dorsett",R,5,1.3547414553270616
8469672,"Aaron Voros",L,4,1.350963570363991
8468611,"Matt Hendricks",L,5,1.333187504547639
8470966,"Mark Giordano",D,10,1.3189669138617326
8468542,"Paul Martin",D,5,1.2913607575851294
8469465,"Dan Hamhuis",D,4,1.2879943738993338
8465058,"Michal Rozsival",D,5,1.283567870465327
8464979,"Marco Sturm",L,7,1.2809762390703194
8471310,"Dustin Boyd",C,8,1.2808781347085016
8466182,"Henrik Tallinder",D,8,1.2768672443066365
8468927,"Steve Montador",D,4,1.269335970232825
8468636,"Greg Zanon",D,4,1.2643150910597751
8473962,"Teddy Purcell",R,4,1.2598353227525947
8470877,"David Jones",R,5,1.2567433080952366
8473712,"Frazer McLaren",L,4,1.2368629127579993
8469543,"Evgeny Artyukhin",R,3,1.2314833621520047
8473991,"Karl Alzner",D,3,1.225607149537511
8471811,"Cal O'Reilly",C,3,1.2245394991502025
8473592,"Vladimir Zharkov",R,5,1.224051345423002
8473646,"Ryan Carter",C,4,1.2186706377572931
8465170,"Fernando Pisani",R,3,1.2156231285054813
8466333,"Andrew Ference",D,3,1.2094494030969694
8471245,"Dave Bolland",C,5,1.2093560060056885
8468501,"Anton Volchenkov",D,3,1.2054472982464217
8470192,"Steve Eminger",D,5,1.1898539157395582
8466398,"Tom Kostopoulos",R,7,1.1802344365955633
8467931,"Matt Carkner",D,4,1.178776919046905
8469670,"Marek Svatos",R,4,1.1676026162934816
8467543,"Toby Petersen",C,3,1.1614509162487412
8460770,"Kim Johnsson",D,5,1.1614331025250146
8470169,"Gregory Campbell",C,6,1.1538762352462844
8460555,"Jason Strudwick",D,3,1.151603101297815
8471338,"Torrey Mitchell",C,5,1.1433473258498734
8474125,"Carl Gunnarsson",D,3,1.1331417599341003
8474096,"Nick Spaling",C,3,1.1289930290297936
8465005,"Colin White",D,3,1.1257841100254466
8471309,"Johan Franzen",R,4,1.1204439128866457
8474053,"Logan Couture",C,3,1.1119611971760446
8459587,"Todd Marchant",C,4,1.1088959049596836
8470775,"Nate Thompson",C,5,1.1042446613745382
8467967,"Chris Kelly",C,10,1.0947949127128005
8471388,"Patrick Kaleta",R,4,1.092556994318385
8459454,"Jay Pandolfo",L,3,1.0861270045168785
8468162,"Jerred Smithson",C,3,1.0773690043126496
8470988,"Bryan Rodney",D,4,1.075897749532564
8467580,"Mark Eaton",D,3,1.0493074748398419
8470159,"Boyd Gordon",C,3,1.0444273017663175
8469476,"Tim Gleason",D,5,1.0387749643940973
8464981,"Cory Sarich",D,3,1.0332513474364826
8466142,"Eric Brewer",D,3,1.031698696227533
8470225,"Ilkka Pikkarainen",R,3,1.0309882159809987
8465024,"Jon Sim",L,3,1.0270133444127252
8471231,"Kyle Chipchura",C,4,1.0252689081617044
8467428,"Krys Barch",R,3,1.0189516470876803
8467396,"Erik Cole",L,4,1.0108917992780238
8467344,"Robyn Regehr",D,6,1.0064544543356813
8460720,"Eric Boulton",L,4,1.0043040262468372
8474568,"Luke Schenn",D,5,0.9935101431886035
8470622,"Patrick Eaves",R,5,0.9889241479032078
8467357,"Jonathan Cheechoo",R,3,0.9885359315419198
8474576,"Zach Boychuk",L,4,0.98837166216726
8470280,"Ben Eager",L,4,0.9867520363871565
8470620,"Jeff Tambellini",L,5,0.9863637839831845
8473584,"Andrew MacDonald",D,3,0.9857307091069903
8471314,"Mike Lundin",D,3,0.9793228262965108
8473682,"Andrew Ebbett",C,4,0.9789152585259547
8469534,"Aaron Johnson",D,3,0.9770233019761404
8469626,"Andrew Alberts",D,5,0.9716704718395662
8460507,"Wayne Primeau",C,3,0.969363814507101
8474518,"Davis Drewiske",D,4,0.9675699743144047
8467361,"Blair Betts",C,5,0.9563962479007262
8470061,"Derek Meech",D,3,0.9530736308188473
8470230,"Daniel Paille",L,3,0.9505247205968279
8468577,"Niclas Wallin",D,5,0.939399321979434
8469666,"Brandon Bochenski",R,5,0.9329749858267811
8473722,"John Scott",L,1,0.9271214106720005
8473932,"Darroll Powe",C,5,0.9182223247501933
8473997,"Luca Caputi",L,3,0.9071155478576063
8470685,"Alexander Sulzer",D,2,0.9025581085219345
8470760,"Marc Methot",D,2,0.8979398724785076
8466260,"Kyle Calder",L,2,0.8957395949930522
8470018,"Matt Ellis",L,4,0.8954312785154301
8467502,"Ales Kotalik",R,3,0.8582217576349463
8458172,"Darryl Sydor",D,3,0.854938625817075
8471222,"Ladislav Smid",D,2,0.8491372587850146
8470625,"Ryan Stone",C,5,0.8474637839355386
8469488,"Mark Popovic",D,2,0.8411407250701557
8474520,"Jason Garrison",D,4,0.8373536265119732
8469490,"Tim Jackman",R,5,0.8326152847709657
8471628,"Rick Rypien",C,4,0.8302310555839838
8467491,"Rickard Wallin",C,2,0.8276076490316997
8471694,"Kenndal McArdle",L,2,0.8220989511187153
8456283,"Adam Foote",D,5,0.8176771852422403
8468506,"Brian Sutherby",C,3,0.809578737537584
8467882,"Jamie Lundmark",C,5,0.7874597069774218
8469664,"David Moss",R,7,0.7784755579212134
8473537,"Viktor Stalberg",L,2,0.7765354800238521
8471753,"T.J. Hensick",C,2,0.7760272677080186
8466292,"Todd Fedoruk",L,3,0.7747024437600831
8470289,"Jim Slater",C,5,0.7701698177259386
